NSN, 		Nomenclature, 		Quantity, TransactionDate	
1005007265636,	MACHINE GUN 7.62, 	5,	4/12/2024	
5430014698744,	TANK FABRIC,		53,	4/12/2024
2330011087367,	TRAILER TANK,		19,	4/12/2024
5810010269621,	VPA ASSEMBLY,		23,	4/12/2024
5430012039971,	TANK WATER,		24,	4/12/2024
1005014123129,	MACHINE GUN 7.62,	44,	4/13/2024
5855014320524,	VIEWER NIGHT VISION,	27,	4/14/2024
6665013821968,	ALARM CHEMICAL AGEN,	50,	4/14/2024
1375000473751,	DEMOLITION SET EXPL,	15,	4/14/2024
1005005420843,	RIFLE 22CAL,		66,	4/15/2024
1015011646651,	MORTAR 81 MILLIMETE,	26,	4/15/2024
6350013821826,	SENSOR MOBILE MONIT,	36,	4/15/2024
5895013381702,	EM PROGRAM ENTRY DE,	68,	4/15/2024
2310013808225,	TRUCK AMBULANCE,	46,	4/16/2024
1005012310973,	CARBINE 5.56 MILLIM,	47,	4/16/2024
2330013875426,	TRAILER CARGO,		16,	4/16/2024
2330013035197,	TRAILER PALLETIZED,	8,	4/16/2024
6625015685523,	THIRD ECHELON TEST,	24,	4/16/2024
4930015497112,	LUBRICATING UNIT,	39,	4/16/2024
2320015402038,	TRUCK UTILITY,		59,	4/16/2024
2320015939122,	TRUCK WRECKER,		52,	4/17/2024
2355015393639,	LIGHT ARMORED VEHIC,	60,	4/17/2024
2320015427628,	TRUCK CARGO,		9,	4/17/2024
2330016697763,	SEMITRAILER TANK,	69,	4/17/2024
